Date,Amount,Description,Credit/Debit,Category
2023-01-14,1.0,Monthly card fee for 2023-01-14 - 2023-02-13,D,None
2023-01-17,62.38,"Payment 2023-01-16 11:34:05 LEZIZ FOOD, 34450, ISTANBUL, TR CD 5465 (221275), card *5465, present, code: yes",D,None
2023-01-24,1000.0,'-,C,None
2023-01-25,264.73,"Payment 2023-01-24 12:13:08 FiverrEU, Nicosia, CY CD 5465 (378061), card *5465, not present, code: yes",D,None
2023-01-25,804.0,"Payment 2023-01-24 17:07:43 S RIKSOS BELEK, 07506, ANTALYA, TR CD 5465 (960399), card *5465, not present, code: yes",D,None
2023-01-26,1120.0,'-,C,None
2023-01-26,1120.0,'-,D,None
2023-02-04,0.11,"European POS charges, card *5465, not present, code: no",D,None
2023-02-04,1.71,"Payment 2023-02-03 20:23:43 AS-MU-LA TUR, 07160, Antalya, TR, TRY 35.00 FX Rate 20.4679 CD 5465 (975391), card *5465, present, code: yes",D,None
2023-02-05,59.18,"Payment 2023-02-04 13:52:00 RIXOS PARK THE LAND OF LE, 07525, ANTALYA, TR, TRY 1200.00 FX Rate 20.277 CD 5465 (530707), card *5465, present, code: yes",D,None
2023-02-05,0.51,"European POS charges, card *5465, not present, code: no",D,None
2023-02-14,1.0,Monthly card fee for 2023-02-14 - 2023-03-13,D,None
2023-02-14,18.24,"Payment 2023-02-13 15:16:14 CMLKK OTOPARK, ISTANBUL, TR, TRY 365.80 FX Rate 20.055 CD 5465 (357525), card *5465, present, code: yes",D,None
2023-02-14,0.23,"European POS charges, card *5465, not present, code: no",D,None
2023-02-15,18.99,"Payment 2023-02-14 13:47:39 CIRCLE K SESKINES KALNAS, 08104, VILNIUS, LT CD 5465 (489090), card *5465, present, code: yes",D,None
2023-02-17,400.0,Top up for tarvel expenses,C,None
2023-02-18,5.7,"Payment 2023-02-17 13:05:52 VERO CAFE, 08105, VILNIUS, LT CD 5465 (377519), card *5465, present, code: yes",D,None
2023-02-19,220.0,"Payment 2023-02-16 13:46:07 PAYPAL *STEFANRADJENOV, 35314369001, LU CD 5465 (881218), card *5465, not present, code: yes",D,None
2023-02-20,44.98,"Payment 2023-02-19 17:20:06 IKI ZVERYNO ZIEDAS, VILNIUS, LT CD 5465 (720031), card *5465, present, code: yes",D,None
2023-02-21,107.81,"Payment 2023-02-19 14:38:19 RYANAIR     PLIZ5H0, KAUNO, LT CD 5465 (333511), card *5465, not present, code: yes",D,None
2023-02-22,96.0,"Payment 2023-02-20 07:27:15 HOLIDAY INN CITY WEST MOT, HELSINKI, FI CD 5465 (454560), card *5465, not present, code: yes",D,None
2023-02-23,11.0,"Payment 2023-02-22 03:07:17 PAYPAL *SOUNDCLOUD, 10115, 35314369001, DE CD 5465 (582007), card *5465, not present, code: yes",D,None
2023-02-24,20.08,"Payment 2023-02-23 15:05:42 Wise, Bruxelles, BE CD 5465 (103907), card *5465, not present, code: yes",D,None
2023-02-24,24.73,"Payment 2023-02-23 15:19:23 Wise, Bruxelles, BE CD 5465 (152979), card *5465, not present, code: yes",D,None
2023-03-01,28.26,"Payment 2023-02-28 13:58:23 FPRIVCY*PRIVACYPOLICY, TIMISOARA, RO, USD 29.76 FX Rate 1.0531 CD 5465 (570525), card *5465, not present, code: yes",D,None
2023-03-01,0.3,"European POS charges, card *5465, not present, code: no",D,None
2023-03-02,9.99,"Payment 2023-02-28 18:53:18 APPLE.COM BILL, ITUNES.COM, IE CD 5465 (815521), card *5465, not present, code: yes",D,None
2023-03-05,4.3,"Payment 2023-03-04 08:30:59 OEBB Ticket Automat, 01100, Wien, AT CD 5465 (121062), card *5465, present, code: yes",D,None
2023-03-05,30.6,"Payment 2023-03-04 19:01:24 R-HELSINKI_Ruoholahti, HELSINKI, FI CD 5465 (392685), card *5465, present, code: yes",D,None
2023-03-05,500.0,'-,C,None
2023-03-05,500.0,'-,C,None
2023-03-06,588.99,"Payment 2023-03-05 16:42:52 airBaltic.com, Riga, LV CD 5465 (921377), card *5465, not present, code: yes",D,None
2023-03-08,11.63,"Payment 2023-03-07 15:08:09 UBER   *TRIP, HELP.UBER.COM, NL CD 5465 (436675), card *5465, not present, code: yes",D,None
2023-03-08,45.0,"Payment 2023-03-07 08:57:10 FIXU TAXI, HELSINKI, FI CD 5465 (325235), card *5465, present, code: yes",D,None
2023-03-08,2000.0,'-,C,None
2023-03-09,7.3,"Payment 2023-03-08 21:00:13 UBER   *TRIP, HELP.UBER.COM, NL CD 5465 (750447), card *5465, not present, code: yes",D,None
2023-03-09,834.29,"Payment 2023-03-07 09:06:12 HOLIDAY INN HEL, 00180, Helsinki, FI CD 5465 (565560), card *5465, present, code: yes",D,None
2023-03-09,36.89,"Payment 2023-03-08 13:24:14 UBER   *TRIP, HELP.UBER.COM, NL CD 5465 (955975), card *5465, not present, code: yes",D,None
2023-03-12,7.0,"Payment 2023-03-12 00:28:34 BOLT.EU O 2303112228, Tallinn, EE CD 5465 (373279), card *5465, not present, code: yes",D,None
2023-03-13,754.1,"Payment 2023-03-11 21:56:17 HOLIDAY INN HEL, 00180, Helsinki, FI CD 5465 (957537), card *5465, present, code: yes",D,None
2023-03-14,1.0,Monthly card fee for 2023-03-14 - 2023-04-13,D,None
2023-03-15,9.99,"Payment 2023-03-14 19:27:02 APPLE.COM BILL, ITUNES.COM, IE CD 5465 (313629), card *5465, not present, code: yes",D,None
2023-03-17,1111.02,"Payment 2023-03-15 09:30:16 HOLIDAY INN HEL, 00180, Helsinki, FI CD 5465 (623875), card *5465, present, code: yes",D,None
2023-03-19,11.99,"Payment 2023-03-18 10:45:13 APPLE.COM BILL, ITUNES.COM, IE CD 5465 (602925), card *5465, not present, code: yes",D,None
2023-03-21,88.3,"Payment 2023-03-19 16:11:05 HOLIDAY INN HEL, 00180, Helsinki, FI CD 5465 (863902), card *5465, present, code: yes",D,None
2023-03-23,11.0,"Payment 2023-03-22 03:08:18 PAYPAL *SOUNDCLOUD, 10115, 35314369001, DE CD 5465 (153896), card *5465, not present, code: yes",D,None
2023-03-24,120.0,'-,C,None
2023-03-25,44.72,"Payment 2023-03-24 12:28:29 Shutterstock 3D, 10118, 504-2222204, US, USD 48.40 FX Rate 1.0823 CD 5465 (441358), card *5465, not present, code: yes",D,None
2023-03-25,0.64,"Abroad POS charges, card *5465, not present, code: no",D,None
2023-03-25,80.43,"Payment 2023-03-24 12:14:38 UNITY, 94103, SAN FRANSICO, US CD 5465 (65825), card *5465, not present, code: yes",D,None
2023-04-04,1000.0,'-,C,None
2023-04-05,31.82,"Payment 2023-04-04 19:32:40 HELSINGIN TAXI - AMIIR, ESPOO, FI CD 5465 (206874), card *5465, present, code: yes",D,None
2023-04-05,20.5,"Payment 2023-04-04 22:21:35 VFI*HAYHEL, HELSINKI, FI CD 5465 (9762), card *5465, present, code: yes",D,None
2023-04-05,12.5,"Payment 2023-04-04 22:30:12 JOUKO EINO ELER, HELSINKI, FI CD 5465 (170705), card *5465, present, code: yes",D,None
2023-04-05,90.0,"Payment 2023-04-04 19:41:38 HOTELLDRIFT HEL, 00220, HELSINKI, NO CD 5465 (78414), card *5465, not present, code: yes",D,None
2023-04-05,12.9,"Payment 2023-04-05 00:24:26 MENEVA OY, HELSINKI, FI CD 5465 (936598), card *5465, present, code: yes",D,None
2023-04-05,373.05,"Payment 2023-04-04 11:08:46 HOTELSCOM7252647400905, 98119, HOTELS.COM, US, USD 402.37 FX Rate 1.0786 CD 5465 (607575), card *5465, not present, code: yes",D,None
2023-04-05,4.58,"Abroad POS charges, card *5465, not present, code: no",D,None
2023-04-05,14.2,"Payment 2023-04-05 00:14:04 MENEVA AIRPORT, HELSINKI, FI CD 5465 (934330), card *5465, present, code: yes",D,None
2023-04-06,20.0,"Payment 2023-04-05 02:41:53 VFI*PALILL, KOUVOLA, FI CD 5465 (251094), card *5465, present, code: yes",D,None
2023-04-07,24.82,"Payment 2023-04-06 18:58:09 VFI*BENSALAH, HELSINKI, FI CD 5465 (681631), card *5465, present, code: yes",D,None
2023-04-07,25.0,"Payment 2023-04-06 13:25:47 ZETTLE_*DRIVEMORE, HELSINKI, FI CD 5465 (24556), card *5465, present, code: yes",D,None
2023-04-08,1000.0,'-,C,None
2023-04-08,20.4,"Payment 2023-04-06 20:00:22 Jukka Westerback Oy, 00390, Helsinki, FI CD 5465 (1402), card *5465, present, code: yes",D,None
2023-04-09,998.98,"Payment 2023-04-08 11:54:19 airBaltic.com, Riga, LV CD 5465 (969696), card *5465, not present, code: yes",D,None
2023-04-09,66.3,"Payment 2023-04-08 18:41:33 VFI*COCHI TAKSIPALVELU, HELSINKI, FI CD 5465 (212502), card *5465, present, code: yes",D,None
2023-04-09,118.0,"Payment 2023-04-07 11:15:44 C HOTEL HELSINK, 00220, HELSINKI, FI CD 5465 (935926), card *5465, present, code: yes",D,None
2023-04-10,51.5,"Payment 2023-04-08 17:57:28 C HOTEL HELSINK, 00220, HELSINKI, FI CD 5465 (228126), card *5465, present, code: yes",D,None
2023-04-11,1000.0,'-,C,None
2023-04-12,501.16,"Payment 2023-04-11 11:40:56 TURKISH AIRL00000003V7ELS, HELSINKI, FI CD 5465 (888171), card *5465, not present, code: yes",D,None
2023-04-14,1.0,Monthly card fee for 2023-04-14 - 2023-05-13,D,None
2023-04-17,398.99,"Payment 2023-04-16 17:32:06 FiverrEU, Nicosia, CY CD 5465 (141572), card *5465, not present, code: yes",D,None
2023-04-18,500.0,'-,C,None
2023-04-22,400.0,"Payment 2023-04-21 13:14:21 TURKISH AIRL00000003VUFLX, FRANKFURT, DE CD 5465 (962069), card *5465, not present, code: yes",D,None
2023-04-22,18.75,"Payment 2023-04-21 16:16:20 VALDOVU RUMU MUZIEJUS KAS, 01143, VILNIUS, LT CD 5465 (907722), card *5465, present, code: yes",D,None
2023-04-23,11.0,"Payment 2023-04-22 04:08:19 PAYPAL *SOUNDCLOUD, 10115, 35314369001, DE CD 5465 (135277), card *5465, not present, code: yes",D,None
2023-04-24,13.0,"Payment 2023-04-23 18:25:14 VFI*AHA HOSPITALITY OY, HELSINKI, FI CD 5465 (892480), card *5465, present, code: yes",D,None
2023-04-24,6.5,"Payment 2023-04-23 23:13:24 BOLT.EU O 2304232013, Tallinn, EE CD 5465 (409916), card *5465, not present, code: yes",D,None
2023-04-24,13.0,"Payment 2023-04-23 18:47:59 VFI*AHA HOSPITALITY OY, HELSINKI, FI CD 5465 (912453), card *5465, present, code: yes",D,None
2023-04-24,8.0,"Payment 2023-04-23 21:23:30 BOLT.EU O 2304231823, Tallinn, EE CD 5465 (374967), card *5465, not present, code: yes",D,None
2023-04-24,58.0,"Payment 2023-04-23 08:53:08 FIXU TAXI, HELSINKI, FI CD 5465 (121029), card *5465, present, code: yes",D,None
2023-04-24,12.5,"Payment 2023-04-23 14:27:24 J.  and  K. Jarvinen Oy, 00950, Helsinki, FI CD 5465 (143723), card *5465, present, code: yes",D,None
2023-04-24,8.8,"Payment 2023-04-23 18:49:01 VFI*AHA HOSPITALITY OY, HELSINKI, FI CD 5465 (913317), card *5465, present, code: yes",D,None
2023-04-24,26.9,"Payment 2023-04-23 17:48:24 R_HELSINKI_Urho Kekkosenk, HELSINKI, FI CD 5465 (108147), card *5465, present, code: yes",D,None
2023-04-24,43.4,"Payment 2023-04-23 18:01:52 VFI*AHA HOSPITALITY OY, HELSINKI, FI CD 5465 (869860), card *5465, present, code: yes",D,None
2023-04-25,500.0,'-,C,None
